device_id,device_type,manufacturer,model,purchase_date,purchase_cost,department_owner,location,status
DEV0139,Camera,Sony,Alpha ZV-E10,2023-09-13,892,Marketing,Austin,Available
DEV0140,Projector,Epson,PowerLite,2024-01-15,755,Operations,Houston,Available
DEV0141,Laptop,Dell,Latitude 5440,2024-03-12,1314,Finance,Dallas,Available
DEV0142,Laptop,Apple,MacBook Air M3,2023-12-15,1550,Operations,Dallas,Available
DEV0143,Laptop,Lenovo,ThinkPad T14,2024-11-16,1259,HR,Austin,Available
DEV0144,Monitor,Dell,P2425H,2025-04-12,277,Finance,College Station,Available
DEV0145,Monitor,LG,27UP850,2023-11-07,442,Research,College Station,Available
DEV0146,Tablet,Apple,iPad Air,2024-12-30,636,Operations,Dallas,Available
DEV0147,Tablet,Samsung,Galaxy Tab S9,2024-08-08,615,Finance,College Station,Checked Out
DEV0148,Camera,Canon,EOS R50,2022-01-20,793,Marketing,Dallas,Available
DEV0149,Camera,Sony,Alpha ZV-E10,2022-11-08,722,Operations,Houston,Maintenance
DEV0150,Projector,Epson,PowerLite,2023-04-20,931,Marketing,College Station,Available
DEV0151,Laptop,Dell,Latitude 5440,2024-09-28,1182,HR,College Station,Available
DEV0152,Laptop,Apple,MacBook Air M3,2023-05-20,1540,HR,Austin,Available
DEV0153,Laptop,Lenovo,ThinkPad T14,2023-08-30,1182,Engineering,Dallas,Maintenance
DEV0154,Monitor,Dell,P2425H,2024-12-23,259,Finance,College Station,Maintenance
DEV0155,Monitor,LG,27UP850,2024-04-26,467,Engineering,College Station,Available
DEV0156,Tablet,Apple,iPad Air,2023-05-26,656,Engineering,Dallas,Available
DEV0157,Tablet,Samsung,Galaxy Tab S9,2025-04-09,666,Engineering,Austin,Available
DEV0158,Camera,Canon,EOS R50,2025-03-25,788,Finance,Dallas,Available
DEV0159,Camera,Sony,Alpha ZV-E10,2025-07-18,663,Operations,Austin,Available
DEV0160,Projector,Epson,PowerLite,2022-04-20,729,Research,Houston,Available
DEV0161,Laptop,Dell,Latitude 5440,2023-06-13,1333,HR,Houston,Available
DEV0162,Laptop,Apple,MacBook Air M3,2022-03-17,1637,Research,Dallas,Checked Out
DEV0163,Laptop,Lenovo,ThinkPad T14,2023-03-07,1279,Marketing,Houston,Available
DEV0164,Monitor,Dell,P2425H,2025-01-12,274,Finance,Houston,Checked Out
DEV0165,Monitor,LG,27UP850,2023-05-15,391,Marketing,Austin,Checked Out
DEV0166,Tablet,Apple,iPad Air,2023-06-03,652,Marketing,Austin,Available
DEV0167,Tablet,Samsung,Galaxy Tab S9,2023-02-16,711,Finance,Houston,Available
DEV0168,Camera,Canon,EOS R50,2025-04-20,913,Engineering,Houston,Available
DEV0169,Camera,Sony,Alpha ZV-E10,2023-06-25,761,Finance,Houston,Maintenance
DEV0170,Projector,Epson,PowerLite,2024-04-03,863,Research,Dallas,Checked Out
DEV0171,Laptop,Dell,Latitude 5440,2024-04-26,1090,Research,Dallas,Checked Out
DEV0172,Laptop,Apple,MacBook Air M3,2025-06-06,1418,Engineering,Austin,Available
DEV0173,Laptop,Lenovo,ThinkPad T14,2024-11-17,1167,Marketing,College Station,Maintenance
DEV0174,Monitor,Dell,P2425H,2024-04-30,253,Engineering,Dallas,Available
DEV0175,Monitor,LG,27UP850,2025-06-15,406,HR,Austin,Available
DEV0176,Tablet,Apple,iPad Air,2022-06-11,628,Research,Dallas,Maintenance
DEV0177,Tablet,Samsung,Galaxy Tab S9,2025-01-22,618,Marketing,Austin,Checked Out
DEV0178,Camera,Canon,EOS R50,2023-06-20,991,Finance,Houston,Checked Out
DEV0179,Camera,Sony,Alpha ZV-E10,2022-12-12,870,Research,Austin,Available
DEV0180,Projector,Epson,PowerLite,2022-02-18,813,Marketing,Austin,Available
DEV0181,Laptop,Dell,Latitude 5440,2024-09-18,1398,HR,Austin,Available
DEV0182,Laptop,Apple,MacBook Air M3,2025-01-30,1638,Marketing,Austin,Available
DEV0183,Laptop,Lenovo,ThinkPad T14,2022-05-13,1206,Operations,Dallas,Available
DEV0184,Monitor,Dell,P2425H,2022-01-06,267,Operations,Austin,Available
DEV0185,Monitor,LG,27UP850,2024-06-28,465,Research,Dallas,Checked Out
DEV0186,Tablet,Apple,iPad Air,2022-11-05,733,HR,College Station,Available
DEV0187,Tablet,Samsung,Galaxy Tab S9,2024-07-11,703,Operations,Austin,Checked Out
DEV0188,Camera,Canon,EOS R50,2022-12-24,820,HR,Austin,Available
DEV0189,Camera,Sony,Alpha ZV-E10,2023-08-08,865,HR,Houston,Available
DEV0190,Projector,Epson,PowerLite,2025-07-22,759,Operations,Austin,Available
DEV0191,Laptop,Dell,Latitude 5440,2022-08-31,1213,Research,Houston,Available
DEV0192,Laptop,Apple,MacBook Air M3,2024-02-13,1502,Finance,Dallas,Available
DEV0193,Laptop,Lenovo,ThinkPad T14,2022-05-14,1140,Marketing,Dallas,Available
DEV0194,Monitor,Dell,P2425H,2022-09-20,261,Research,Houston,Available
DEV0195,Monitor,LG,27UP850,2023-08-08,364,Marketing,College Station,Available
DEV0196,Tablet,Apple,iPad Air,2024-09-04,633,Marketing,College Station,Available
DEV0197,Tablet,Samsung,Galaxy Tab S9,2023-12-30,747,Finance,Dallas,Available
DEV0198,Camera,Canon,EOS R50,2023-11-20,956,Operations,Houston,Available
DEV0199,Camera,Sony,Alpha ZV-E10,2025-01-15,874,Finance,Austin,Checked Out
DEV0200,Projector,Epson,PowerLite,2022-07-22,804,Engineering,Houston,Checked Out
DEV0201,Laptop,Dell,Latitude 5440,2024-01-31,1438,HR,College Station,Maintenance
DEV0202,Laptop,Apple,MacBook Air M3,2023-09-12,1486,Finance,College Station,Checked Out
DEV0203,Laptop,Lenovo,ThinkPad T14,2022-12-14,1203,HR,Austin,Available
DEV0204,Monitor,Dell,P2425H,2024-01-01,270,Finance,College Station,Available
DEV0205,Monitor,LG,27UP850,2025-04-30,451,Marketing,College Station,Available
DEV0206,Tablet,Apple,iPad Air,2025-06-01,610,Engineering,Austin,Available
DEV0207,Tablet,Samsung,Galaxy Tab S9,2025-07-03,709,Marketing,College Station,Available
DEV0208,Camera,Canon,EOS R50,2023-02-11,826,Operations,Dallas,Available
DEV0209,Camera,Sony,Alpha ZV-E10,2025-03-13,761,HR,College Station,Available
DEV0210,Projector,Epson,PowerLite,2023-01-28,820,Engineering,Austin,Available
DEV0211,Laptop,Dell,Latitude 5440,2023-06-24,1349,Research,Austin,Available
DEV0212,Laptop,Apple,MacBook Air M3,2023-10-23,1357,Marketing,Dallas,Checked Out
DEV0213,Laptop,Lenovo,ThinkPad T14,2023-08-31,1241,Research,Austin,Available
DEV0214,Monitor,Dell,P2425H,2023-02-24,247,Research,Houston,Available
DEV0215,Monitor,LG,27UP850,2024-08-25,445,Finance,Dallas,Available
DEV0216,Tablet,Apple,iPad Air,2022-03-05,673,Finance,Austin,Available
DEV0217,Tablet,Samsung,Galaxy Tab S9,2023-02-19,736,Engineering,Austin,Available
DEV0218,Camera,Canon,EOS R50,2022-01-13,958,Engineering,Austin,Available
DEV0219,Camera,Sony,Alpha ZV-E10,2023-09-11,897,Finance,Austin,Checked Out
DEV0220,Projector,Epson,PowerLite,2024-02-07,786,Finance,College Station,Available
DEV0221,Laptop,Dell,Latitude 5440,2023-08-19,1310,Engineering,College Station,Available
DEV0222,Laptop,Apple,MacBook Air M3,2025-01-17,1513,Operations,Dallas,Available
DEV0223,Laptop,Lenovo,ThinkPad T14,2025-03-28,1363,Research,Houston,Available
DEV0224,Monitor,Dell,P2425H,2024-11-23,294,Engineering,Houston,Available
DEV0225,Monitor,LG,27UP850,2023-11-02,444,Marketing,College Station,Available
DEV0226,Tablet,Apple,iPad Air,2022-04-12,558,Marketing,Austin,Available
DEV0227,Tablet,Samsung,Galaxy Tab S9,2024-05-06,816,HR,Dallas,Available
DEV0228,Camera,Canon,EOS R50,2024-08-18,918,Engineering,Houston,Available
DEV0229,Camera,Sony,Alpha ZV-E10,2024-10-06,749,Engineering,Austin,Available
DEV0230,Projector,Epson,PowerLite,2022-08-13,699,Finance,Austin,Available
DEV0231,Laptop,Dell,Latitude 5440,2023-12-21,1446,Research,Dallas,Checked Out
DEV0232,Laptop,Apple,MacBook Air M3,2022-06-14,1555,Marketing,Houston,Available
DEV0233,Laptop,Lenovo,ThinkPad T14,2022-08-26,1176,Finance,Dallas,Available
DEV0234,Monitor,Dell,P2425H,2024-02-12,288,Research,College Station,Available
DEV0235,Monitor,LG,27UP850,2022-03-09,455,Operations,College Station,Available
DEV0236,Tablet,Apple,iPad Air,2025-02-10,607,Finance,Houston,Available
DEV0237,Tablet,Samsung,Galaxy Tab S9,2024-09-04,794,HR,College Station,Checked Out
DEV0238,Camera,Canon,EOS R50,2024-01-08,811,Engineering,Dallas,Available
DEV0239,Camera,Sony,Alpha ZV-E10,2025-05-10,783,Engineering,Dallas,Available
DEV0240,Projector,Epson,PowerLite,2023-11-08,741,HR,College Station,Available
DEV0241,Laptop,Dell,Latitude 5440,2022-07-28,1379,HR,Dallas,Available
DEV0242,Laptop,Apple,MacBook Air M3,2025-06-04,1728,Research,College Station,Checked Out
DEV0243,Laptop,Lenovo,ThinkPad T14,2022-11-13,1039,Finance,College Station,Checked Out
DEV0244,Monitor,Dell,P2425H,2024-08-11,280,Marketing,Houston,Available
DEV0245,Monitor,LG,27UP850,2024-04-28,433,HR,College Station,Available
DEV0246,Tablet,Apple,iPad Air,2024-01-11,631,HR,College Station,Checked Out
DEV0247,Tablet,Samsung,Galaxy Tab S9,2023-10-16,802,Engineering,Dallas,Available
DEV0248,Camera,Canon,EOS R50,2024-08-24,1037,Research,Dallas,Available
DEV0249,Camera,Sony,Alpha ZV-E10,2025-04-25,828,Research,Houston,Available
DEV0250,Projector,Epson,PowerLite,2023-02-19,833,Marketing,Dallas,Available
DEV0251,Laptop,Dell,Latitude 5440,2024-01-19,1298,Research,Austin,Available
DEV0252,Laptop,Apple,MacBook Air M3,2022-09-13,1584,HR,Austin,Available
DEV0253,Laptop,Lenovo,ThinkPad T14,2023-02-05,1057,HR,Austin,Available
DEV0254,Monitor,Dell,P2425H,2025-05-26,248,Marketing,College Station,Checked Out
DEV0255,Monitor,LG,27UP850,2023-03-23,447,Finance,College Station,Available
DEV0256,Tablet,Apple,iPad Air,2022-08-30,620,Marketing,Dallas,Available
DEV0257,Tablet,Samsung,Galaxy Tab S9,2022-01-12,761,Marketing,Austin,Available
DEV0258,Camera,Canon,EOS R50,2024-04-28,759,Finance,Dallas,Available
DEV0259,Camera,Sony,Alpha ZV-E10,2023-02-11,819,HR,College Station,Maintenance
DEV0260,Projector,Epson,PowerLite,2025-03-18,711,Marketing,College Station,Available
